"Timestamp","1.1 What is your primary role?","1.2 How much experience do you have professionally developing GUIs?","1.3 What platform(s) do you primarily develop GUIs for? (Select all that apply)","1.4 How often do you use AI-powered code generation tools in GUI development?","1.5  How often do you use AI-powered design-to-code tools (e.g., Builder.io, Anima, Locofy.ai, UI2Code.ai)? ","2.1 Available GUI tools (e.g., IDEs, UI frameworks) lack sufficient capabilities for my needs.","2.2 It is hard to find GUI development information (e.g., documentation, community support). ","2.3 Managing dependencies and libraries (e.g., components, icons) is complicated.","2.4 Continuous learning is essential to maintain competency due to rapid evolution of GUI technologies.","2.5 Designer-developer communication is unclear or ineffective, leading to rework.","2.6 Working with legacy GUI code is frustrating and demotivating.","2.7 The hardware resources are insufficient for GUI development.","2.8 Lack of a clear architectural pattern makes GUI maintenance difficult. ","2.9 Implementing responsive layouts across devices is complicated.","2.10  Achieving high GUI performance requires excessive optimization.","2.11 Implementing components and styles from designs is difficult.","2.12 Implementing data binding and component interactions is difficult.","2.13 Debugging GUI code requires significant effort.","2.14 Design-to-code tools (Builder.io, Anima, Locofy.ai, UI2Code.ai …) can correctly recognize the GUI elements and generate corresponding code.","2.15 Design-to-code tools (Builder.io, Anima, Locofy.ai, UI2Code.ai …) do not integrate well into workflows.","2.16 AI code tools lack contextual understanding of GUI development. ","2.17 AI code tools do not fully support GUI-domain-specific languages and frameworks.","2.18 AI-generated code is hard to debug and maintain.","2.19  There are proper development methods to ensure accessibility.","2.20 Making accessible GUIs is difficult.","2.21 GUI development tools help make GUIs accessible. ","Please describe any obstacles not covered above, particularly related to tools, workflows, or collaboration. ","3.2 What improvement to a tool, framework, or team process would most improve your GUI development workflow?"
"2026/01/06 12:08:35 PM GMT+1","UI Engineer","Less than 1 year","iOS","Always","Often","4","1","2","5","3","5","4","2","3","3","1","2","4","4","2","5","4","3","4","1","4","","Converting platform specific code to general code (for example going from the Figma Make platform to VSCode React)

Converting Figma design to code without heavy restrictions (for example, the figma design does not convert unless all the spacing is perfectly encoded into the design)"
"2026/01/06 2:00:34 PM GMT+1","Game Developer","I have not professionally developed GUIs","Windows","Sometimes","Never","2","2","1","4","3","4","1","4","3","2","3","3","3","3","3","2","1","4","2","4","3","",""
"2026/01/06 3:08:42 PM GMT+1","Game Developer","1 - 3 years","iOS;Unity","Occasionally","Never","2","1","2","4","3","3","1","3","3","3","1","3","3","3","3","4","4","4","3","2","3","","Docs"
"2026/01/06 5:24:39 PM GMT+1","Full-stack Software Developer","1 - 3 years","Web;iOS","Often","Never","2","2","2","5","4","5","2","4","4","3","3","2","4","3","4","1","1","2","2","4","3","","Instant previews"
"2026/01/06 7:55:58 PM GMT+1","Front-end Software Developer","1 - 3 years","Linux;Windows;Android","Occasionally","Never","2","2","3","4","4","5","2","4","3","2","2","3","3","3","3","4","3","4","3","3","3","","A fast ui sketching tool. It would need to be realy simple and fast to use. It shouldn't be as exhaustive as figma and just make iterating on rough Ui Element placement very fast. (Example: live sketching a UI to a potential customer, that does not yet know how the final UI should look and feel.)"
"2026/01/06 8:45:05 PM GMT+1","Student ","Less than 1 year","iOS","Always","Occasionally","3","4","2","3","5","4","2","5","3","5","4","3","5","3","3","2","2","5","3","2","4","","A lot of communication and updates on what is happening "
"2026/01/07 9:06:53 PM GMT+1","Web Developer","Less than 1 year","Web;Linux;Windows;iOS","Never","Never","3","3","5","4","2","2","3","5","4","4","4","3","4","2","3","3","3","5","3","4","3","AI isnt really helpful, i usually turn it off.",""
"2026/01/08 9:49:43 AM GMT+1","Game Developer","Less than 1 year","Web;Linux;Windows;Android","Sometimes","Never","3","2","2","4","4","5","3","5","4","5","3","2","2","3","3","4","3","5","2","4","4","","Communication between design and implementation "
"2026/01/12 4:33:45 PM GMT+1","Full-stack Software Developer","1 - 3 years","Web","Often","Never","3","3","5","5","4","5","1","4","5","2","4","4","2","3","3","2","2","4","3","4","3","",""
"2026/01/13 10:10:11 AM GMT+1","Web Developer","1 - 3 years","Web;Windows","Always","Sometimes","2","2","3","4","2","2","3","3","3","3","4","4","4","4","3","2","4","4","5","2","5","",""
"2026/01/13 11:52:50 AM GMT+1","Full-stack Software Developer","I have not professionally developed GUIs","Windows","Always","Never","4","3","4","3","4","2","3","2","2","3","4","3","4","4","5","4","4","4","5","4","4","",""
"2026/01/13 3:58:35 PM GMT+1","Web Developer","Less than 1 year","Windows","Sometimes","Often","3","3","4","4","3","2","3","4","4","4","4","5","4","3","3","2","2","2","2","2","3","",""
"2026/01/14 2:58:29 PM GMT+1","Network Engineer ","Less than 1 year","Windows","Never","Never","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","",""
"2026/01/14 10:05:34 PM GMT+1","Student","I have not professionally developed GUIs","Web","Sometimes","Never","2","1","3","5","2","3","2","2","3","2","1","1","3","3","3","1","1","3","3","3","3","",""